artist_name	nb_artworks	artist_url	date_of_birth	date_of_death	desc	movements	mediums
Pierre-Auguste Renoir	246	https://artsandculture.google.com/entity/pierre-auguste-renoir/m06466?categoryId=artist	1841-02-25	1919-12-3	"Pierre-Auguste Renoir was a French artist who was a leading painter in the development of the Impressionist style. As a celebrator of beauty and especially feminine sensuality, it has been said that ""Renoir is the final representative of a tradition which runs directly from Rubens to Watteau.""
He was the father of actor Pierre Renoir, filmmaker Jean Renoir and ceramic artist Claude Renoir. He was the grandfather of the filmmaker Claude Renoir, son of Pierre."	['Modern art', 'Impressionism', 'Les Nabis']	['Oil paint', 'Etching', 'Drawing', 'Ink', 'Laid paper', 'Chalk']
Peter Paul Rubens	445	https://artsandculture.google.com/entity/peter-paul-rubens/m0pwnh?categoryId=artist	1577-06-28	1640-05-30	"Sir Peter Paul Rubens was a Flemish artist and diplomat from the Duchy of Brabant in the Southern Netherlands. He is considered the most influential artist of the Flemish Baroque tradition. Rubens's highly charged compositions reference erudite aspects of classical and Christian history. His unique and immensely popular Baroque style emphasized movement, colour, and sensuality, which followed the immediate, dramatic artistic style promoted in the Counter-Reformation. Rubens was a painter producing altarpieces, portraits, landscapes, and history paintings of mythological and allegorical subjects. He was also a prolific designer of cartoons for the Flemish tapestry workshops and of frontispieces for the publishers in Antwerp.
In addition to running a large workshop in Antwerp that produced paintings popular with nobility and art collectors throughout Europe, Rubens was a classically educated humanist scholar and diplomat who was knighted by both Philip IV of Spain and Charles I of England. Rubens was a prolific artist. The catalogue of his works by Michael Jaffé lists 1,403 pieces, excluding numerous copies made in his workshop."	['Antwerp school', 'Baroque', 'Renaissance', 'Dutch Golden Age', 'Modern art', 'Modernism']	['Oil paint', 'Engraving', 'Wood', 'Drawing', 'Chalk', 'Pigment']
Auguste Rodin	395	https://artsandculture.google.com/entity/auguste-rodin/m0wgm?categoryId=artist	1840-11-12	1917-11-17	"François Auguste René Rodin was a French sculptor generally considered the founder of modern sculpture. He was schooled traditionally and took a craftsman-like approach to his work. Rodin possessed a unique ability to model a complex, turbulent, and deeply pocketed surface in clay. He is known for such sculptures as The Thinker, Monument to Balzac, The Kiss, The Burghers of Calais, and The Gates of Hell.
Many of Rodin's most notable sculptures were criticized, as they clashed with predominant figurative sculpture traditions in which works were decorative, formulaic, or highly thematic. Rodin's most original work departed from traditional themes of mythology and allegory. He modeled the human body with naturalism, and his sculptures celebrate individual character and physicality. Although Rodin was sensitive to the controversy surrounding his work, he refused to change his style, and his continued output brought increasing favor from the government and the artistic community."	['Modern art', 'Impressionism', 'Symbolism', 'Realism', 'Academic art']	['Metal', 'Bronze', 'Sculpture', 'Rock', 'Plaster', 'Graphite']
Frida Kahlo	65	https://artsandculture.google.com/entity/frida-kahlo/m015k04?categoryId=artist	1907-07-6	1954-07-13	"Magdalena Carmen Frida Kahlo y Calderón was a Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico. Inspired by the country's popular culture, she employed a naïve folk art style to explore questions of identity, postcolonialism, gender, class, and race in Mexican society. Her paintings often had strong autobiographical elements and mixed realism with fantasy. In addition to belonging to the post-revolutionary Mexicayotl movement, which sought to define a Mexican identity, Kahlo has been described as a surrealist or magical realist. She is known for painting about her experience of chronic pain.
Born to a German father and a mestiza mother, Kahlo spent most of her childhood and adult life at La Casa Azul, her family home in Coyoacán – now publicly accessible as the Frida Kahlo Museum. Although she was disabled by polio as a child, Kahlo had been a promising student headed for medical school until she suffered a bus accident at the age of 18, which caused her lifelong pain and medical problems. During her recovery, she returned to her childhood interest in art with the idea of becoming an artist."	['Modern art', 'Magical Realism', 'Symbolism', 'Surrealism', 'Primitivism', 'Social realism']	['Oil paint', 'Masonite', 'Drawing', 'Pencil', 'Watercolor painting', 'Metal']
Titian	168	https://artsandculture.google.com/entity/titian/m0144mv?categoryId=artist		Died-Aug-27-1576	"Tiziano Vecelli or Vecellio, known in English as Titian, was a Venetian painter during the Renaissance, considered the most important member of the 16th-century Venetian school. He was born in Pieve di Cadore, near Belluno. During his lifetime he was often called da Cadore, 'from Cadore', taken from his native region.
Recognized by his contemporaries as ""The Sun Amidst Small Stars"", Titian was one of the most versatile of Italian painters, equally adept with portraits, landscape backgrounds, and mythological and religious subjects. His painting methods, particularly in the application and use of colour, exercised a profound influence not only on painters of the late Italian Renaissance, but on future generations of Western art.
His career was successful from the start, and he became sought after by patrons, initially from Venice and its possessions, then joined by the north Italian princes, and finally the Habsburgs and papacy. Along with Giorgione, he is considered a founder of the Venetian School of Italian Renaissance painting.
During the course of his long life, Titian's artistic manner changed drastically, but he retained a lifelong interest in colour."	['Renaissance', 'Italian Renaissance', 'High Renaissance', 'Venetian painting']	['Oil paint', 'Engraving', 'Drawing', 'Laid paper', 'Ink', 'Etching']
Edgar Degas	525	https://artsandculture.google.com/entity/edgar-degas/m0g_lz?categoryId=artist	1834-07-19	1917-09-27	"Edgar Degas was a French Impressionist artist famous for his pastel drawings and oil paintings.
Degas also produced bronze sculptures, prints and drawings. Degas is especially identified with the subject of dance; more than half of his works depict dancers. Although Degas is regarded as one of the founders of Impressionism, he rejected the term, preferring to be called a realist, and did not paint outdoors as many Impressionists did.
Degas was a superb draftsman, and particularly masterly in depicting movement, as can be seen in his rendition of dancers and bathing female nudes. In addition to ballet dancers and bathing women, Degas painted racehorses and racing jockeys, as well as portraits. His portraits are notable for their psychological complexity and for their portrayal of human isolation.
At the beginning of his career Degas wanted to be a history painter, a calling for which he was well prepared by his rigorous academic training and close study of classical art. In his early thirties he changed course, and by bringing the traditional methods of a history painter to bear on contemporary subject matter, he became a classical painter of modern life."	['Modern art', 'Impressionism', 'Realism', 'Modernism']	['Drawing', 'Oil paint', 'Laid paper', 'Graphite', 'Metal', 'Charcoal']
Édouard Manet	367	https://artsandculture.google.com/entity/%C3%89douard-manet/m02mbk?categoryId=artist	1832-01-23	1883-04-30	"Édouard Manet was a French modernist painter. He was one of the first 19th-century artists to paint modern life, and a pivotal figure in the transition from Realism to Impressionism.
Born into an upper-class household with strong political connections, Manet rejected the future originally envisioned for him, and became engrossed in the world of painting. His early masterworks, The Luncheon on the Grass and Olympia, both 1863, caused great controversy and served as rallying points for the young painters who would create Impressionism. Today, these are considered watershed paintings that mark the start of modern art. The last 20 years of Manet's life saw him form bonds with other great artists of the time, and develop his own style that would be heralded as innovative and serve as a major influence for future painters."	['Modern art', 'Impressionism', 'Realism', 'Modernism', 'Baroque', 'Barbizon school']	['Etching', 'Oil paint', 'Laid paper', 'Drawing', 'Ink', 'Watercolor painting']
Edvard Munch	96	https://artsandculture.google.com/entity/edvard-munch/m02nsp?categoryId=artist	1863-12-12	1944-01-23	"Edvard Munch was a Norwegian painter. His best known work, The Scream, has become one of the iconic images of world art.
His childhood was overshadowed by illness, bereavement and the dread of inheriting a mental condition that ran in the family. Studying at the Royal School of Art and Design in Kristiania, Munch began to live a bohemian life under the influence of the nihilist Hans Jæger, who urged him to paint his own emotional and psychological state. From this emerged his distinctive style.
Travel brought new influences and outlets. In Paris, he learned much from Paul Gauguin, Vincent van Gogh and Henri de Toulouse-Lautrec, especially their use of colour. In Berlin, he met the Swedish dramatist August Strindberg, whom he painted, as he embarked on his major canon The Frieze of Life, depicting a series of deeply-felt themes such as love, anxiety, jealousy and betrayal, steeped in atmosphere.
The Scream was conceived in Kristiania. According to Munch, he was out walking at sunset, when he 'heard the enormous, infinite scream of nature'. The painting's agonised face is widely identified with the angst of the modern person."	['Modern art', 'Symbolism', 'Expressionism', 'Post-Impressionism', 'Modernism', 'Realism']	['Oil paint', 'Photograph', 'Oil pastel', 'Tempera', 'Crayon', 'Drawing']
Diego Rivera	62	https://artsandculture.google.com/entity/diego-rivera/m0q2c2?categoryId=artist	1886-12-8	1957-11-24	"Diego María de la Concepción Juan Nepomuceno Estanislao de la Rivera y Barrientos Acosta y Rodríguez, known as Diego Rivera, was a prominent Mexican painter. His large frescoes helped establish the mural movement in Mexican and international art.
Between 1922 and 1953, Rivera painted murals in, among other places, Mexico City, Chapingo, and Cuernavaca, Mexico; and San Francisco, Detroit, and New York City, United States. In 1931, a retrospective exhibition of his works was held at the Museum of Modern Art in New York; this was before he completed his 27-mural series known as Detroit Industry Murals.
Rivera had numerous marriages and children, including at least one natural daughter. His first child and only son died at the age of two. His third wife was fellow Mexican artist Frida Kahlo, with whom he had a volatile relationship that continued until her death. He was married a fifth time, to his agent.
Due to his importance in the country's art history, the government of Mexico declared Rivera's works as ""monumentos historicos"". As of 2018, Rivera holds the record for highest price at auction for a work by a Latin American artist."	['Modern art', 'Social realism', 'Cubism', 'Impressionism', 'Magical Realism', 'Post-Impressionism']	['Oil paint', 'Drawing', 'Watercolor painting', 'Charcoal', 'Pencil', 'Coal']
Eugène Delacroix	500	https://artsandculture.google.com/entity/eug%C3%A8ne-delacroix/m016s03?categoryId=artist	1798-04-26	1863-08-13	"Ferdinand Victor Eugène Delacroix was a French Romantic artist regarded from the outset of his career as the leader of the French Romantic school.
In contrast to the Neoclassical perfectionism of his chief rival Ingres, Delacroix took for his inspiration the art of Rubens and painters of the Venetian Renaissance, with an attendant emphasis on colour and movement rather than clarity of outline and carefully modelled form. Dramatic and romantic content characterized the central themes of his maturity, and led him not to the classical models of Greek and Roman art, but to travel in North Africa, in search of the exotic. Friend and spiritual heir to Théodore Géricault, Delacroix was also inspired by Lord Byron, with whom he shared a strong identification with the ""forces of the sublime"", of nature in often violent action.
However, Delacroix was given to neither sentimentality nor bombast, and his Romanticism was that of an individualist. In the words of Baudelaire, ""Delacroix was passionately in love with passion, but coldly determined to express passion as clearly as possible."""	['Romanticism']	['Drawing', 'Graphite', 'Watercolor painting', 'Oil paint', 'Ink', 'Laid paper']
Henri de Toulouse-Lautrec	709	https://artsandculture.google.com/entity/henri-de-toulouse-lautrec/m0h7vt?categoryId=artist	1864-11-24	1901-09-9	"Comte Henri Marie Raymond de Toulouse-Lautrec-Monfa was a French painter, printmaker, draughtsman, caricaturist and illustrator whose immersion in the colorful and theatrical life of Paris in the late 19th century allowed him to produce a collection of enticing, elegant, and provocative images of the modern, sometimes decadent, affairs of those times.
Toulouse-Lautrec is among the best-known painters of the Post-Impressionist period, with Paul Cézanne, Vincent van Gogh, Paul Gauguin and Georges Seurat.
In a 2005 auction at Christie's auction house, La Blanchisseuse, his early painting of a young laundress, sold for US$22.4 million and set a new record for the artist for a price at auction.
Born into the aristocracy, Toulouse-Lautrec broke both his legs around the time of his adolescence and, due to an unknown medical condition, was very short as an adult due to his undersized legs. In addition to his alcoholism, he developed an affinity for brothels and prostitutes that directed the subject matter for many of his works."	['Post-Impressionism', 'Art Nouveau', 'Modern art']	['Vellum', 'Crayon', 'Oil paint', 'Wood', 'Olive', 'Ink']
William Blake	500	https://artsandculture.google.com/entity/william-blake/m03f70xs?categoryId=artist	1757-11-28	1827-08-12	"William Blake was an English poet, painter, and printmaker. Largely unrecognised during his life, Blake is now considered a seminal figure in the history of the poetry and visual art of the Romantic Age. What he called his prophetic works were said by 20th-century critic Northrop Frye to form ""what is in proportion to its merits the least read body of poetry in the English language"". His visual artistry led 21st-century critic Jonathan Jones to proclaim him ""far and away the greatest artist Britain has ever produced"". In 2002, Blake was placed at number 38 in the BBC's poll of the 100 Greatest Britons. While he lived in London his entire life, except for three years spent in Felpham, he produced a diverse and symbolically rich œuvre, which embraced the imagination as ""the body of God"" or ""human existence itself"".
Although Blake was considered mad by contemporaries for his idiosyncratic views, he is held in high regard by later critics for his expressiveness and creativity, and for the philosophical and mystical undercurrents within his work. His paintings and poetry have been characterised as part of the Romantic movement and as ""Pre-Romantic""."	['Romanticism', 'Neoclassicism', 'Renaissance', 'Rococo']	['Engraving', 'Graphite', 'Ink', 'Pen', 'Watercolor painting', 'Wood']
Paul Klee	82	https://artsandculture.google.com/entity/paul-klee/m0ktf5?categoryId=artist	1879-12-18	1940-06-29	Paul Klee was a Swiss-born German artist. His highly individual style was influenced by movements in art that included expressionism, cubism, and surrealism. Klee was a natural draftsman who experimented with and eventually deeply explored color theory, writing about it extensively; his lectures Writings on Form and Design Theory, published in English as the Paul Klee Notebooks, are held to be as important for modern art as Leonardo da Vinci's A Treatise on Painting for the Renaissance. He and his colleague, Russian painter Wassily Kandinsky, both taught at the Bauhaus school of art, design and architecture in Germany. His works reflect his dry humor and his sometimes childlike perspective, his personal moods and beliefs, and his musicality.	['Modern art', 'Expressionism', 'Surrealism', 'German Expressionism', 'Bauhaus style', 'Cubism']	['Watercolor painting', 'Oil paint', 'Drawing', 'Textile', 'Linen', 'Ink']
El Greco	94	https://artsandculture.google.com/entity/el-greco/m011k6_?categoryId=artist	1541-10-1	1614-04-7	"Doménikos Theotokópoulos, most widely known as El Greco, was a Greek painter, sculptor and architect of the Spanish Renaissance. ""El Greco"" was a nickname, and the artist normally signed his paintings with his full birth name in Greek letters, Δομήνικος Θεοτοκόπουλος, often adding the word Κρής, which means Cretan.
El Greco was born in the Kingdom of Candia, which was at that time part of the Republic of Venice, Italy, and the center of Post-Byzantine art. He trained and became a master within that tradition before traveling at age 26 to Venice, as other Greek artists had done. In 1570, he moved to Rome, where he opened a workshop and executed a series of works. During his stay in Italy, El Greco enriched his style with elements of Mannerism and of the Venetian Renaissance taken from a number of great artists of the time, notably Tintoretto. In 1577, he moved to Toledo, Spain, where he lived and worked until his death. In Toledo, El Greco received several major commissions and produced his best-known paintings, such as View of Toledo and Opening of the Fifth Seal."	['Renaissance', 'Spanish Renaissance', 'Mannerism']	['Oil paint', 'Wood', 'Gold', 'Drawing', 'Ink', 'Metal']
Sandro Botticelli	66	https://artsandculture.google.com/entity/sandro-botticelli/m0jr3g?categoryId=artist		Died-May-17-1510	"Alessandro di Mariano di Vanni Filipepi, known as Sandro Botticelli, was an Italian painter of the Early Renaissance. Botticelli's posthumous reputation suffered until the late 19th century, when he was rediscovered by the Pre-Raphaelites who stimulated a reappraisal of his work. Since then, his paintings have been seen to represent the linear grace of Early Renaissance painting.
In addition to the mythological subjects for which he is best known today, Botticelli painted a wide range of religious subjects and also some portraits. His best-known works are The Birth of Venus and Primavera, both in the Uffizi in Florence. Botticelli lived all his life in the same neighbourhood of Florence; his only significant times elsewhere were the months he spent painting in Pisa in 1474 and the Sistine Chapel in Rome in 1481–82.
Only one of Botticelli's paintings, the Mystic Nativity is inscribed with a date, but others can be dated with varying degrees of certainty on the basis of archival records, so the development of his style can be traced with some confidence. He was an independent master for all the 1470s, which saw his reputation soar."	['Italian Renaissance', 'Renaissance', 'Florentine painting', 'High Renaissance', 'Venetian painting']	['Tempera', 'Drawing', 'Metal', 'Pen', 'Tin', 'Oil paint']
J. M. W. Turner	620	https://artsandculture.google.com/entity/j-m-w-turner/m0jh2y?categoryId=artist	1775-04-23	1851-12-19	"Joseph Mallord William Turner RA, known in his time as William Turner, was an English Romantic painter, printmaker and watercolourist. He is known for his expressive colourisations, imaginative landscapes and turbulent, often violent marine paintings. He left behind more than 550 oil paintings, 2,000 watercolours, and 30,000 works on paper. He was championed by the leading English art critic John Ruskin from 1840, and is today regarded as having elevated landscape painting to an eminence rivalling history painting.
Turner was born in Maiden Lane, Covent Garden, London, to a modest lower-middle-class family. He lived in London all his life, retaining his Cockney accent and assiduously avoiding the trappings of success and fame. A child prodigy, Turner studied at the Royal Academy of Arts from 1789, enrolling when he was 14, and exhibited his first work there at 15. During this period, he also served as an architectural draftsman. He earned a steady income from commissions and sales, which due to his troubled, contrary nature, were often begrudgingly accepted. He opened his own gallery in 1804 and became professor of perspective at the academy in 1807, where he lectured until 1828."	['Romanticism', 'Neoclassicism']	['Etching', 'Watercolor painting', 'Oil paint', 'Graphite', 'Gouache', 'Drawing']
Osamu Tezuka	104	https://artsandculture.google.com/entity/osamu-tezuka/m01vl17?categoryId=artist	1928-11-3	1989-02-9	"Osamu Tezuka was a Japanese manga artist, cartoonist, and animator. Born in Osaka Prefecture, his prolific output, pioneering techniques, and innovative redefinitions of genres earned him such titles as ""the Father of Manga"", ""the Godfather of Manga"" and ""the God of Manga"". Additionally, he is often considered the Japanese equivalent to Walt Disney, who served as a major inspiration during Tezuka's formative years. Though this phrase praises the quality of his early manga works for children and animations, it also blurs the significant influence of his later, more literary, gekiga works.
Tezuka began what was known as the manga revolution in Japan with his New Treasure Island published in 1947. His output would spawn some of the most influential, successful, and well-received manga series including the children mangas Astro Boy, Princess Knight and Kimba the White Lion, and the adult-oriented series Black Jack, Phoenix, and Buddha, all of which won several awards.
Tezuka died of stomach cancer in 1989. His death had an immediate impact on the Japanese public and other cartoonists."	['Sanpei Shirato', 'Kitazawa Rakuten', 'Takao Yaguchi']	['Drawing', 'Newsprint', 'Photograph']
Gustave Courbet	130	https://artsandculture.google.com/entity/gustave-courbet/m01dqt1?categoryId=artist	1819-06-10	1877-12-31	"Jean Désiré Gustave Courbet was a French painter who led the Realism movement in 19th-century French painting. Committed to painting only what he could see, he rejected academic convention and the Romanticism of the previous generation of visual artists. His independence set an example that was important to later artists, such as the Impressionists and the Cubists. Courbet occupies an important place in 19th-century French painting as an innovator and as an artist willing to make bold social statements through his work.
Courbet's paintings of the late 1840s and early 1850s brought him his first recognition. They challenged convention by depicting unidealized peasants and workers, often on a grand scale traditionally reserved for paintings of religious or historical subjects. Courbet's subsequent paintings were mostly of a less overtly political character: landscapes, seascapes, hunting scenes, nudes, and still lifes. Courbet, a socialist, was active in the political developments of France. He was imprisoned for six months in 1871 for his involvement with the Paris Commune, and lived in exile in Switzerland from 1873 until his death."	['Realism', 'Modern art', 'Barbizon school']	['Oil paint', 'Drawing', 'Etching', 'Chalk', 'Pigment', 'Laid paper']
