,probability
Paul Gauguin,0.002378317294642329
Edward Hopper,0.0023534796200692654
Fornasetti,0.0022974074818193913
Sin Yun-bok,0.0022787265479564667
Itō Jakuchū,0.00224375631660223
Paul Klee,0.0022435311693698168
Frederic Leighton,0.0022201144602149725
Shitao,0.0022120382636785507
Amrita Sher-Gil,0.0020756437443196774
Georgia O'Keeffe,0.002074381336569786
David Teniers the Younger,0.0020240775775164366
Edward Burne-Jones,0.002018500352278352
John Singer Sargent,0.0020118558313697577
Jacques-Louis David,0.0020057661458849907
Qiu Ying,0.0019715502858161926
Lewis Hine,0.0019312031799927354
Mario Testino,0.0019203906413167715
Keisai Eisen,0.0019176912028342485
William Blake,0.0018921572482213378
J. M. W. Turner,0.0018878334667533636
El Greco,0.001796325552277267
Eadweard Muybridge,0.0017736818408593535
Ernst Ludwig Kirchner,0.0017103574937209487
Jean-Baptiste Oudry,0.0016790227964520454
Alfred Sisley,0.0016564859542995691
Shepard Fairey,0.0015989086823537946
Franz Marc,0.0015906121116131544
Qian Xuan,0.0015718862414360046
William Hogarth,0.0015325432177633047
Eugène Boudin,0.0015321996761485934
George Romney,0.0014834597241133451
Charles-François Daubigny,0.0014582962030544877
Mathew Brady,0.0014393822057172656
Titian,0.0014253436820581555
Leonardo da Vinci,0.001423332025296986
Benjamin West,0.0014207677450031042
Luca Giordano,0.0013906450476497412
Zhao Mengfu,0.0013723435113206506
Pierre Bonnard,0.0013681426644325256
Gustave Moreau,0.0013229401083663106
Hokusai,0.0013186074793338776
Giovanni Battista Piranesi,0.0013151807943359017
James Abbott McNeill Whistler,0.0012729889713227749
Giovanni Battista Tiepolo,0.0012719263322651386
Torii Kiyonaga,0.001260430901311338
Sandro Botticelli,0.0012435218086466193
Émile Gallé,0.001200979226268828
Gustave Courbet,0.0011968746548518538
Arthur Streeton,0.0011877532815560699
Gerhard Richter,0.0011762395733967423
Juan Gris,0.0011730313999578357
Francisco Goya,0.0011715207947418094
Egon Schiele,0.0011700103059411049
Dong Qichang,0.001157270511612296
Eugène Delacroix,0.0011565828463062644
Paolo Veronese,0.0011505818692967296
Kunisada,0.0011402040254324675
Ford Madox Brown,0.0011259865714237094
Giovanni Domenico Tiepolo,0.0011031157337129116
Amedeo Modigliani,0.0010515977628529072
Uemura Shōen,0.0010506764519959688
Edward Lear,0.0010349591029807925
Rembrandt,0.0010266391327604651
Édouard Vuillard,0.0010231253691017628
El Lissitzky,0.0010102870874106884
Pierre-Auguste Renoir,0.0010102239903062582
Frederic Remington,0.0010032742284238338
Johannes Vermeer,0.0009990205289795995
Wen Zhengming,0.000968498585280031
Raphael,0.0009128145175054669
Gilbert Stuart,0.0008878569933585823
Paul Cézanne,0.0008803993696346879
Zhang Xiaogang,0.0008801142103038728
Emily Carr,0.0008756175520829856
William Morris,0.0008561562863178551
John Everett Millais,0.0008473835187032819
Guercino,0.0008465563878417015
Stanford White,0.0008050350588746369
Thomas Rowlandson,0.0008019511005841196
Utagawa Toyokuni,0.000792932347394526
Albrecht Dürer,0.000791603175457567
Henry Fox Talbot,0.0007725862669758499
Édouard Manet,0.000753549044020474
Jan Steen,0.0007328714127652347
Henri de Toulouse-Lautrec,0.0007274001836776733
Tawaraya Sōtatsu,0.000724263081792742
Victor Vasarely,0.0007242328720167279
Utamaro,0.0007241984712891281
John Constable,0.0007170573808252811
Kawanabe Kyōsai,0.0007109601283445954
Emperor Huizong of Song,0.0007054682937450707
Annibale Carracci,0.0006915716221556067
Tintoretto,0.0006870977231301367
Xu Bing,0.0006618897896260023
René Lalique,0.0006613393779844046
Mi Fu,0.0006507424986921251
William-Adolphe Bouguereau,0.0006486366037279367
Toyohara Kunichika,0.0006384242442436516
Ma Yuan,0.0006287882570177317
Pietro da Cortona,0.0006227020057849586
Utagawa Kuniyoshi,0.0005934375221841037
Jean-Baptiste-Siméon Chardin,0.0005924419965595007
Tang Yin,0.0005829734727740288
Jean-Antoine Watteau,0.0005820427322760224
Lee Jung-seob,0.0005646226927638054
Mary Cassatt,0.0005450248718261719
Bartolomé Esteban Murillo,0.0005344330566003919
Edgar Degas,0.0005308612599037588
Fra Angelico,0.0005209858645685017
Lovis Corinth,0.0005080535192973912
Hans Holbein the Younger,0.00046079576713964343
Thomas Eakins,0.00043824504246003926
Shinsui Itō,0.00037245656130835414
Charles Le Brun,0.0003693252510856837
Henri Fantin-Latour,0.00036828697193413973
Peter Paul Rubens,0.0003672965685836971
Bronzino,0.0003602445940487087
Marià Fortuny,0.00035383692011237144
Rogier van der Weyden,0.0003525242500472814
Michelangelo,0.0003521262260619551
Honoré Daumier,0.00034364903694950044
Anna Ancher,0.0003172759898006916
Jean-Baptiste-Camille Corot,0.00030286985565908253
Julia Margaret Cameron,0.000301284744637087
Henry Fuseli,0.0002897708327509463
Sidney Nolan,0.00027091411175206304
Frans Hals,0.0002608978538773954
Giorgio Vasari,0.00025412742979824543
Auguste Rodin,0.0002539390989113599
Jacob Jordaens,0.0002267707313876599
Diego Velázquez,0.00022530197747983038
Joaquín Sorolla,0.0002185638149967417
Jean Auguste Dominique Ingres,0.00020832163863815367
Dante Gabriel Rossetti,0.00020004496036563069
François Boucher,0.00019110685389023274
Caravaggio,0.0001904102973639965
Antonio Canova,0.000183376731001772
Anders Zorn,0.0001780076854629442
Jusepe de Ribera,0.00017355727322865278
Berthe Morisot,0.00014837802154943347
Gian Lorenzo Bernini,0.00013919082994107157
Hendrick Goltzius,0.00011920532415388152
Anthony van Dyck,0.00010845751239685342
Qi Baishi,0.00010146318527404219
Lucio Fontana,9.907573985401541e-05
Clyfford Still,7.109578291419894e-05
Martin Schongauer,5.72277931496501e-05
